label,id,task,seed,request_index,latency_ms,http_status,model,input_tokens,output_tokens,error_type
Jev,drawer-open-v3-0,drawer-open-v3,0,0,1436.541,200,jev-1.13.0,1014,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,1,353.237,200,jev-1.13.0,1607,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,2,443.416,200,jev-1.13.0,1055,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,3,937.685,200,jev-1.13.0,1648,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,4,409.517,200,jev-1.13.0,1095,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,5,487.821,200,jev-1.13.0,1687,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,6,622.681,200,jev-1.13.0,1133,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,7,607.884,200,jev-1.13.0,1741,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,8,620.25,200,jev-1.13.0,1188,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,9,715.473,200,jev-1.13.0,1794,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,10,449.0,200,jev-1.13.0,1204,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,11,474.899,200,jev-1.13.0,1825,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,12,401.208,200,jev-1.13.0,1234,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,13,414.994,200,jev-1.13.0,1849,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,14,400.568,200,jev-1.13.0,1248,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,15,649.612,200,jev-1.13.0,1866,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,16,352.183,200,jev-1.13.0,1247,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,17,428.538,200,jev-1.13.0,1879,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,18,402.03,200,jev-1.13.0,1266,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,19,493.283,200,jev-1.13.0,1882,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,20,457.347,200,jev-1.13.0,1251,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,21,514.128,200,jev-1.13.0,1851,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,22,474.631,200,jev-1.13.0,1235,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,23,505.992,200,jev-1.13.0,1850,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,24,342.358,529,,,,
Jev,drawer-open-v3-0,drawer-open-v3,0,25,506.996,200,jev-1.13.0,1234,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,26,438.085,200,jev-1.13.0,1861,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,27,461.875,200,jev-1.13.0,1214,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,28,465.263,200,jev-1.13.0,1812,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,29,461.361,200,jev-1.13.0,1198,55,
Jev,drawer-open-v3-0,drawer-open-v3,0,30,415.373,200,jev-1.13.0,1795,144,
Jev,drawer-open-v3-0,drawer-open-v3,0,31,382.915,200,jev-1.13.0,1197,56,
Jev,drawer-open-v3-0,drawer-open-v3,0,32,524.103,200,jev-1.13.0,1790,144,
